FileName,Grain #,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,1,132760.0,411.139005640477,-88.4979382567257,976.0767233478571,461.53483115820615,16228.61909502171,0.0,71.15230491111781,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,2,11470.75,120.85119986070005,89.79165951953122,348.1364994426352,46.667184804225556,1086.1295090390227,82.0,199.06804263016804,249.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,3,546.75,26.384535642757676,77.26466827394039,62.277879320907395,23.060507041231833,224.2726009489054,109.0,206.89666209419295,236.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,4,147.25,13.692498784453214,-37.94546083885216,22.180236681686846,11.475850466522191,76.698484809835,108.0,193.25127334465196,232.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,5,4990.5,79.71262100822447,88.52215020550894,162.5629018051216,41.20754903622896,441.99799769332157,90.0,220.15198877867948,251.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,6,263.0,18.29923496393627,80.74398581664862,38.98520816264855,10.874717665971017,100.37310601229376,141.0,196.12737642585552,231.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,7,3500.25,66.75819587480817,87.8887459623968,111.12797114918864,45.20925334051789,397.2792206135786,55.0,199.03699735733161,247.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,8,722.0,30.319613310508885,-56.96844303768954,53.657384513591694,20.4071642164757,172.36753236814712,97.0,187.21087257617728,253.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,9,933.0,34.46639660942099,80.94947618109829,50.57372340149446,29.984431291164565,228.5837841309485,116.0,205.7266881028939,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,10,5662.0,84.90631485520079,-86.82315806800015,158.1972516499948,48.726481872240456,598.1767132435118,81.0,174.4321794418933,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,11,5673.0,84.9887518280071,89.2598629767175,175.45427627782405,44.09509614190306,610.0020920410531,87.0,172.00656619072802,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,12,11151.5,119.15758802155307,86.70270425509395,310.980146550474,51.45377683982735,1089.1310780698122,96.0,183.1104559924674,253.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,13,1857.25,48.62842938507659,-89.70150728186617,67.06511433432084,41.681948929739086,275.01881297349286,89.0,162.56790954368017,238.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,14,989.75,35.499138572670006,87.59243849682458,66.70037429915912,26.191962445027787,250.55992052357223,93.0,165.56529426622885,236.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,15,1531.25,44.1548191353528,65.7153843749694,77.40313405335881,35.18910241604463,291.60155108391484,95.0,162.0566530612245,240.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,16,832.0,32.54743156102575,85.67179398332428,54.69078481296725,26.43245020236148,211.3644840409422,113.0,191.73046875,237.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,17,0.25,0.5641895835477563,-45.00001609038752,0.0,0.0,0.0,204.0,204.0,204.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,18,75.75,9.82078894558317,-86.66987568965179,17.300521130157463,7.201405549470532,51.67766952966369,171.0,226.97029702970298,237.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,19,376.5,21.894626934314015,71.67802145117992,30.372904554445945,18.17778227846794,106.25178566873409,118.0,206.84860557768926,240.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,20,338.5,20.760336844397603,84.53196072042927,35.48509660567743,13.706891256596737,116.198484809835,105.0,191.40768094534712,237.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,21,47.75,7.797255174810172,-89.8403921370287,58.55015566414493,3.017232157903885,74.07106781186548,153.0,189.26178010471205,221.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,22,5325.5,82.3446245694709,84.4872943311531,142.96357360446083,51.98182074118407,526.58787847868,87.0,183.7532626044503,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,23,755.75,31.02016740660178,-88.05584303039392,39.10791784801015,26.942449370700313,147.24316369738256,102.0,176.24710552431358,224.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,24,1694.0,46.44209070209227,-77.37689306216717,92.56049206638089,37.59061992389158,350.11069606552974,77.0,181.31301652892563,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,25,1138.75,38.07757255350145,-74.98104253180084,81.0056198443341,21.46671560932739,211.2462120245875,76.0,182.07464324917672,252.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,26,4373.25,74.62033797171553,-86.2052376868616,121.09277931411988,49.98131212608419,406.4035892843431,93.0,163.68152975475905,234.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,27,3485.5,66.61738836951213,74.22996886354164,97.4949398665196,53.212344174911436,391.05182156248395,69.0,176.829507961555,231.0
afc8f178-9664-440d-a777-b0d5b3bdacb7.csv,28,772.75,31.36711427903589,-19.379306650465924,46.12034044118083,22.25130768548664,141.4177848998413,86.0,176.25331607893887,234.0
